"","x.values","f.values","var","inter","data_func","datapoints","decay","technique","average_area"
"4462",0.791666666666667,0.535825361522941,2,1,"data3",500,0.001,"me",0.241027293164957
"4463",0.8125,0.606948854331932,2,1,"data3",500,0.001,"me",0.241027293164957
"4464",0.833333333333333,0.68489920917051,2,1,"data3",500,0.001,"me",0.241027293164957
"4465",0.854166666666667,0.726320403802326,2,1,"data3",500,0.001,"me",0.241027293164957
"4466",0.875,0.751555744981853,2,1,"data3",500,0.001,"me",0.241027293164957
"4467",0.895833333333333,0.794802717367836,2,1,"data3",500,0.001,"me",0.241027293164957
"4468",0.916666666666667,0.817069380787653,2,1,"data3",500,0.001,"me",0.241027293164957
"4469",0.9375,0.905295796425625,2,1,"data3",500,0.001,"me",0.241027293164957
"4470",0.958333333333333,0.940261326463926,2,1,"data3",500,0.001,"me",0.241027293164957
"4471",0.979166666666667,0.977262536062687,2,1,"data3",500,0.001,"me",0.241027293164957
"4472",1,1.05971234442106,2,1,"data3",500,0.001,"me",0.241027293164957
"1293",0,-0.478383400852073,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1294",0.0208333333333333,-0.454588000033145,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1295",0.0416666666666667,-0.417274912736651,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1296",0.0625,-0.405606922362973,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1297",0.0833333333333333,-0.372593575884777,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1298",0.104166666666667,-0.352627092606305,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1299",0.125,-0.337221527734559,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1300",0.145833333333333,-0.321868354603151,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1301",0.166666666666667,-0.298798128480227,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1302",0.1875,-0.277872089585572,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1303",0.208333333333333,-0.26387813086193,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1304",0.229166666666667,-0.246529930247075,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1305",0.25,-0.229618780291576,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1306",0.270833333333333,-0.209061076493483,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1307",0.291666666666667,-0.183717595971761,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1308",0.3125,-0.171693630018984,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1309",0.333333333333333,-0.152177337638723,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1310",0.354166666666667,-0.12792389162469,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1311",0.375,-0.112248777809065,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1312",0.395833333333333,-0.0967708447282269,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1313",0.416666666666667,-0.0746163911701544,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1314",0.4375,-0.051555425799481,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1315",0.458333333333333,-0.0311923360464021,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1316",0.479166666666667,-0.0119639855990398,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1317",0.5,0.00856732575165703,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1318",0.520833333333333,0.0316255861585888,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1319",0.541666666666667,0.0409637432945379,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1320",0.5625,0.0727939516252618,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1321",0.583333333333333,0.0875806620223065,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1322",0.604166666666667,0.10563490590482,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1323",0.625,0.139114968709964,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1324",0.645833333333333,0.155486087872925,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1325",0.666666666666667,0.17393565337401,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1326",0.6875,0.198870774167459,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1327",0.708333333333333,0.221478664532509,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1328",0.729166666666667,0.233961174263056,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1329",0.75,0.256643767659349,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1330",0.770833333333333,0.268199148476655,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1331",0.791666666666667,0.287341170765223,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1332",0.8125,0.302241986778043,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1333",0.833333333333333,0.322980911891708,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1334",0.854166666666667,0.339721920393105,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1335",0.875,0.355289964744523,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1336",0.895833333333333,0.374215972243881,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1337",0.916666666666667,0.388369373864496,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1338",0.9375,0.417080357405748,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1339",0.958333333333333,0.435093303726977,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1340",0.979166666666667,0.45703321776868,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1341",1,0.495853752551127,1,1,"data1",1000,0.001,"me",0.0186530083473017
"1442",0,-0.429682689101279,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1443",0.0208333333333333,-0.430919819800339,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1444",0.0416666666666667,-0.416551723027812,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1445",0.0625,-0.39520137691225,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1446",0.0833333333333333,-0.379089138751364,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1447",0.104166666666667,-0.376173202242679,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1448",0.125,-0.36272310949393,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1449",0.145833333333333,-0.319194763160424,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1450",0.166666666666667,-0.300530960084697,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1451",0.1875,-0.285824991764119,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1452",0.208333333333333,-0.270582384287307,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1453",0.229166666666667,-0.243713149706653,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1454",0.25,-0.215723972512261,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1455",0.270833333333333,-0.20012241095225,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1456",0.291666666666667,-0.195064656589792,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1457",0.3125,-0.144999945666785,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1458",0.333333333333333,-0.162440292375075,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1459",0.354166666666667,-0.147653509081537,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1460",0.375,-0.120663423481935,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1461",0.395833333333333,-0.100065001067167,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1462",0.416666666666667,-0.0893320537876342,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1463",0.4375,-0.0542925588253895,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1464",0.458333333333333,-0.0355911420035513,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1465",0.479166666666667,-0.0170023734740067,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1466",0.5,0.0161029963658288,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1467",0.520833333333333,0.0037338105427458,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1468",0.541666666666667,0.0461211248651302,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1469",0.5625,0.0702590342805978,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1470",0.583333333333333,0.0942618175044579,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1471",0.604166666666667,0.103525752573934,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1472",0.625,0.154722017270368,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1473",0.645833333333333,0.18374423039605,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1474",0.666666666666667,0.173217910765754,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1475",0.6875,0.195578261276045,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1476",0.708333333333333,0.234339106986487,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1477",0.729166666666667,0.226112065844711,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1478",0.75,0.283440921067593,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1479",0.770833333333333,0.28305539846722,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1480",0.791666666666667,0.295016486334139,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1481",0.8125,0.302523879538787,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1482",0.833333333333333,0.298442879236867,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1483",0.854166666666667,0.343159124724727,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1484",0.875,0.370966489720399,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1485",0.895833333333333,0.395441130490544,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1486",0.916666666666667,0.403515037258912,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1487",0.9375,0.402081758074374,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1488",0.958333333333333,0.397700775414317,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1489",0.979166666666667,0.422600013302752,2,1,"data1",1000,0.001,"me",0.0186530083473017
"1490",1,0.431547928857802,2,1,"data1",1000,0.001,"me",0.0186530083473017
"3090",0,-0.939157951497471,1,1,"data2",1000,0.001,"me",0.224521923789349
"3091",0.0204081632653061,-0.932966591970579,1,1,"data2",1000,0.001,"me",0.224521923789349
"3092",0.0408163265306122,-0.873869149809774,1,1,"data2",1000,0.001,"me",0.224521923789349
"3093",0.0612244897959184,-0.842860916354472,1,1,"data2",1000,0.001,"me",0.224521923789349
"3094",0.0816326530612245,-0.801560643286035,1,1,"data2",1000,0.001,"me",0.224521923789349
"3095",0.102040816326531,-0.775127843761542,1,1,"data2",1000,0.001,"me",0.224521923789349
"3096",0.122448979591837,-0.726973285202768,1,1,"data2",1000,0.001,"me",0.224521923789349
"3097",0.142857142857143,-0.675504048092445,1,1,"data2",1000,0.001,"me",0.224521923789349
"3098",0.163265306122449,-0.625830523681515,1,1,"data2",1000,0.001,"me",0.224521923789349
"3099",0.183673469387755,-0.584811401467037,1,1,"data2",1000,0.001,"me",0.224521923789349
"3100",0.204081632653061,-0.544816962451767,1,1,"data2",1000,0.001,"me",0.224521923789349
"3101",0.224489795918367,-0.522679303407493,1,1,"data2",1000,0.001,"me",0.224521923789349
"3102",0.244897959183673,-0.474682605482579,1,1,"data2",1000,0.001,"me",0.224521923789349
"3103",0.26530612244898,-0.43187977090077,1,1,"data2",1000,0.001,"me",0.224521923789349
